x;y;z;a;index
0.4081;-1.1252;-0.4533;1.2799;10.7547
0.4081;-1.1252;-0.4533;1.2799;8.602
0.4081;-1.1252;-0.4533;1.2799;0.0
0.4081;-1.1252;-0.4533;1.2799;0.0
0.4081;-1.1252;-0.4533;1.2799;0.0
-8.2679;-0.8192;-1.3343;8.4149;8.726
-5.8929;-3.0022;-2.9813;7.2545;9.4478
-7.7889;-6.1632;-4.9733;11.1079;10.3352
-10.2789;-10.0132;-7.6363;16.2553;11.616
-5.9499;-3.5002;-0.8933;6.9607;15.5421
-16.0829;-25.0872;-4.9923;30.2151;28.7582
-5.9119;-4.2862;-7.5973;10.5376;37.0129
-4.7429;-3.5192;-4.1503;7.2184;37.1993
-8.5929;-8.5762;-7.3103;14.1715;37.8704
-7.3479;-6.6612;-8.8423;13.2872;37.9702
-3.8429;-4.6112;-0.6643;6.0393;39.0526
-3.8429;-4.6112;-0.6643;6.0393;39.0526
-3.8429;-4.6112;-0.6643;6.0393;39.0526
-3.8429;-4.6112;-0.6643;6.0393;39.0526
-3.8429;-4.6112;-0.6643;6.0393;39.0526
-6.1029;-12.5792;-8.1723;16.1947;40.621
-6.5249;-5.5502;-6.3523;10.6645;41.267
-6.5249;-5.5502;-6.3523;10.6645;41.267
-6.5249;-5.5502;-6.3523;10.6645;41.267
-6.5249;-5.5502;-6.3523;10.6645;40.3339
-6.5249;-5.5502;-6.3523;10.6645;40.1709
-6.5249;-5.5502;-6.3523;10.6645;39.9518
-6.5249;-5.5502;-6.3523;10.6645;39.5984
-6.5249;-5.5502;-6.3523;10.6645;38.2284
-6.5249;-5.5502;-6.3523;10.6645;29.5961
-6.5249;-5.5502;-6.3523;10.6645;18.2487
-6.5249;-5.5502;-6.3523;10.6645;17.8655
-6.5249;-5.5502;-6.3523;10.6645;16.395
-6.5249;-5.5502;-6.3523;10.6645;16.1626
-6.5249;-5.5502;-6.3523;10.6645;13.3366
-6.5249;-5.5502;-6.3523;10.6645;13.3366
