x;y;z;a
-3.393;1.453;8.696;9.447
-3.451;0.993;9.136;9.817
-3.47;0.706;8.83;9.514
-3.336;0.687;9.06;9.679
-3.432;0.649;9.155;9.799
-3.451;0.802;8.849;9.532
-3.259;0.936;8.906;9.53
-1.459;4.23;9.845;10.814
-4.926;-1.438;0.9;5.21
5.168;-6.61;5.784;10.191
7.983;-1.151;26.088;27.306
-1.267;9.766;15.189;18.102
3.214;-10.345;7.7;13.291
-0.463;-8.755;5.459;10.328
-3.106;-4.254;5.516;7.628
-3.566;4.575;6.799;8.937
-4.14;-0.06;3.658;5.525
-1.784;-1.189;8.887;9.142
-2.206;-0.864;9.366;9.661
-2.014;-1.63;9.615;9.958
-2.091;-1.189;9.5;9.8
-2.014;-1.477;9.443;9.768
-2.033;-1.381;9.424;9.74
-2.053;-1.132;9.424;9.712
-1.957;-1.17;9.673;9.938
-2.014;-1.17;9.481;9.763
-1.995;-1.534;9.404;9.735
-1.88;-1.228;9.385;9.65
-2.053;-1.151;9.5;9.788
-1.938;-1.515;9.788;10.093
-1.957;-1.247;9.462;9.743
-2.072;-1.247;9.519;9.822
-2.053;-1.208;9.519;9.813
-1.995;-1.323;9.462;9.76
-2.282;-1.151;9.539;9.876
-2.053;-1.668;9.385;9.751
