x;y;z;a
9.026;2.531;2.496;9.701
11.104;4.552;1.357;12.077
6.555;2.751;-0.396;7.12
7.341;4.37;0.61;8.564
7.944;2.416;0.476;8.317
7.149;2.866;2.42;8.073
8.471;4.733;6.222;11.527
9.984;1.104;2.027;10.247
9.572;2.512;-3.47;10.487
9.83;1.851;-1.947;10.191
8.863;0.414;-0.099;8.873
8.26;2.138;1.404;8.647
9.275;1.334;3.588;10.034
7.752;0.386;0.83;7.806
7.982;0.864;1.012;8.092
8.356;2.176;1.223;8.721
8.202;3.211;0.351;8.815
7.647;2.646;-1.765;8.282
8.806;2.521;0.782;9.193
25.153;3.69;4.038;25.741
6.977;-6.835;-2.263;10.026
11.822;-0.313;-8.335;14.469
9.141;-5.418;4.881;11.693
9.581;10.278;-0.176;14.053
20.71;6.563;-4.255;22.138
