x;y;z;a
-3.497;22.290;4.142;22.939
-0.203;10.280;6.661;12.251
7.123;6.019;3.175;9.851
4.691;7.206;0.484;8.612
9.757;0.627;0.388;9.785
4.710;5.214;2.600;7.492
7.401;5.559;2.313;9.541
7.363;5.607;2.207;9.514
7.248;5.473;2.255;9.358
7.267;5.521;2.294;9.410
7.334;5.482;2.236;9.426
7.334;5.492;2.188;9.420
7.324;5.482;2.255;9.423
7.382;5.521;2.150;9.465
7.305;5.530;2.236;9.431
7.315;5.454;2.236;9.394
7.248;5.348;2.255;9.285
7.305;5.415;2.198;9.355
7.286;5.415;2.322;9.370
7.257;5.348;2.217;9.284
7.305;5.425;2.246;9.372
7.238;5.434;2.303;9.340
7.324;5.415;2.341;9.405
7.286;5.348;2.437;9.361
7.133;5.310;2.428;9.218
