x;y;z;a;index
-5.0689;6.8038;-10.3563;13.388;36.8121
0.3511;-4.4962;4.3157;6.2421;41.5627
-2.0999;8.6038;12.5897;15.3927;44.4245
0.6761;-1.0292;10.0807;10.1556;45.6107
2.0941;-1.2782;10.2337;10.5236;45.6336
-2.3299;-1.1642;9.9467;10.282;45.6216
-4.1689;-1.8342;9.6397;10.6615;45.5989
-3.4219;0.2338;7.8777;8.592;45.4692
-0.0319;-0.8382;9.5447;9.5814;45.4806
-0.2039;-0.1112;9.8507;9.8534;45.2644
-0.0129;-0.0152;9.7547;9.7547;44.6294
-0.0129;-0.0152;9.7547;9.7547;44.4086
-0.0129;-0.0152;9.7547;9.7547;44.3531
-0.0129;-0.0152;9.7547;9.7547;44.3167
-0.0129;-0.0152;9.7547;9.7547;44.2964
-0.0129;-0.0152;9.7547;9.7547;44.1864
-0.1849;-0.0542;9.8507;9.8525;44.1119
-0.1459;-0.0922;9.8507;9.8522;44.0255
-0.1459;-0.0732;9.8507;9.852;33.8042
-0.1459;-0.0732;9.8507;9.852;27.8389
-0.1459;-0.0732;9.8507;9.852;20.0667
-0.1459;-0.0732;9.8507;9.852;12.5138
-0.1459;-0.0732;9.8507;9.852;7.0568
-0.1459;-0.0732;9.8507;9.852;6.9067
-0.1459;-0.0732;9.8507;9.852;5.2948
